case,group,keyword,first_date,last_date,days_mentioned,occurrences
new_energy,old,双碳,2021-08-03,2025-12-15,38,70
new_energy,old,大力发展,2021-01-03,2025-12-03,215,262
new_energy,old,新能源产业,2021-10-22,2025-11-28,55,67
new_energy,old,补贴,2021-01-04,2025-12-31,360,756
new_energy,new,产能过剩,2023-12-12,2024-09-09,5,6
new_energy,new,合理布局,2022-09-06,2025-12-23,8,9
new_energy,new,恶性竞争,2021-07-24,2024-11-17,5,5
platform_economy,old,二选一,2025-11-10,2025-11-10,1,1
platform_economy,old,反垄断,2021-01-31,2025-11-15,29,51
platform_economy,old,整改,2021-01-28,2025-12-27,221,500
platform_economy,old,防止资本无序扩张,2021-01-31,2022-04-30,4,4
platform_economy,new,创新活力,2021-01-31,2025-12-02,104,118
platform_economy,new,平台经济,2021-01-31,2025-12-20,41,57
platform_economy,new,规范健康发展,2021-10-16,2025-09-19,10,10
platform_economy,new,鼓励,2021-01-04,2025-12-30,551,807
real_estate,old,严控,2021-01-31,2025-11-10,22,22
real_estate,old,因城施策,2021-06-01,2025-12-11,20,21
real_estate,old,房住不炒,2021-02-04,2021-02-04,1,1
real_estate,old,抑制,2021-01-31,2025-12-03,23,27
real_estate,old,调控,2021-01-06,2025-12-14,158,205
real_estate,old,长效机制,2021-01-22,2025-12-19,96,122
real_estate,new,保交楼,2022-07-28,2024-03-22,10,12
real_estate,new,城中村改造,2022-11-22,2025-10-08,15,26
real_estate,new,平稳健康,2021-02-26,2025-11-03,78,83
real_estate,new,止跌回稳,2024-09-03,2025-12-11,15,18
real_estate,new,白名单,2022-01-06,2025-02-10,25,33
